ID,Yield,TestWt,FDK,DON,StripeRust
NC032,62.4407241,58.47759107,NA,NA,0.637968063
LA093,69.74526475,58.58742361,NA,NA,0.638635885
LA102,55.26946647,54.53535773,NA,NA,0.638635885
VA139,62.2158559,56.56541289,NA,NA,0.638635885
GA183,63.55252688,54.81040649,NA,NA,0.676175593
TX002,66.56273641,59.71280653,NA,NA,0.679199907
TX004,69.90814036,59.01429175,NA,NA,0.679199907
GA120,72.04408561,55.38414274,NA,NA,0.686613793
SC041,73.00129976,57.8760422,NA,NA,0.689975829
AR094,42.33841703,54.66101561,NA,NA,0.690631532
NC077,68.99843123,56.75075586,NA,NA,0.690720446
GA107,71.69562452,56.6081323,NA,NA,0.702240985
FL027,65.52417138,58.13801487,NA,NA,0.729669875
LA087,66.64897165,58.0117239,NA,22.60741255,0.735316441
TX025,75.62150983,55.94505724,NA,NA,0.735316441
VA124,73.44897165,57.99505724,NA,NA,0.735316441
TX001,65.97422897,57.11300241,NA,NA,0.7368026
GA109,69.55668187,56.82779436,NA,NA,0.741766483
GA026,64.32744418,56.87623257,NA,NA,0.754040253
GA040,68.62946505,55.91204978,NA,NA,0.754040253
GA041,69.13569243,56.1750244,NA,NA,0.754040253
GA042,53.00252035,56.94857236,NA,NA,0.754040253
GA044,66.58453587,56.75424548,NA,NA,0.754040253
GA046,65.90002194,58.07368117,NA,NA,0.754040253
GA049,57.45555787,56.15800505,NA,NA,0.754040253
GA050,61.25660126,53.22275816,NA,NA,0.754040253
GA078,70.7048602,56.44276418,NA,NA,0.754040253
LA029,62.39110276,58.50459817,NA,NA,0.754040253
LA031,59.02428106,56.37750827,NA,NA,0.754040253
LA033,60.45871477,56.35169408,NA,NA,0.754040253
LA037,63.29076325,55.70701451,NA,NA,0.754040253
LA043,52.84771503,56.72020677,NA,NA,0.754040253
LA044,58.59870683,53.53225838,NA,NA,0.754040253
LA047,56.07198225,57.78764634,NA,NA,0.754040253
LA050,61.56442656,56.4957358,NA,NA,0.754040253
LA053,63.87324388,54.68744375,NA,NA,0.754040253
NC046,58.52263886,56.39878999,NA,NA,0.754040253
VA081,64.27037301,57.16743774,NA,NA,0.754040253
AR001,61.6595932,55.35344066,NA,NA,0.778973198
FL007,65.08128496,58.87872386,NA,NA,0.783294549
AR083,59.53355588,56.8614735,NA,NA,0.801815136
GA012,71.8728079,57.63884856,NA,NA,0.801815136
GA032,66.27491182,57.3977935,NA,NA,0.801815136
SC045,63.25205276,56.42736726,NA,NA,0.801815136
SC049,60.17225449,55.17657931,NA,NA,0.801815136
SC050,57.24683624,55.88537415,NA,NA,0.801815136
FL024,68.4046343,59.86640095,NA,NA,0.820703866
GA004,67.18853807,56.77697822,NA,NA,0.821703641
AR117,67.11945969,57.07891756,NA,NA,0.833742675
LA098,74.07316513,59.62750446,NA,NA,0.843729815
GA096,64.64320915,56.16374953,NA,NA,0.867243652
LA073,54.06222514,59.10254522,NA,NA,0.867243652
LA123,63.66481621,55.23933077,NA,NA,0.918881903
FL021,71.63750656,57.45216044,NA,NA,0.919879528
GA105,68.45164946,57.92861769,NA,NA,0.921131218
SC022,64.3942095,58.16634877,NA,NA,0.921867401
AR003,58.12517837,54.88670169,NA,NA,0.924299685
GA111,73.12573327,54.6809737,NA,NA,0.932651757
GA155,70.42624465,56.6682288,NA,NA,0.939400618
AR012,63.74386988,56.13066003,NA,NA,0.952996795
LA054,64.66525813,56.06824841,NA,NA,0.952996795
SC025,58.62101815,54.70645489,NA,NA,0.952996795
